OBJECTID,Shape_Leng,Tw_Avg_01_Mohseni,Tw_Avg_02_Mohseni,Tw_Avg_03_Mohseni,Tw_Avg_04_Mohseni,Tw_Avg_05_Mohseni,Tw_Avg_06_Mohseni,Tw_Avg_07_Mohseni,Tw_Avg_08_Mohseni,Tw_Avg_09_Mohseni,Tw_Avg_10_Mohseni,Tw_Avg_11_Mohseni,Tw_Avg_12_Mohseni,Slope,F01_Q0001E,F02_Q0001E,F03_Q0001E,F04_Q0001E,F05_Q0001E,F06_Q0001E,F07_Q0001E,F08_Q0001E,F09_Q0001E,F10_Q0001E,F11_Q0001E,F12_Q0001E,MA_Q0001E,PercMAD_01,PercMAD_02,PercMAD_03,PercMAD_04,PercMAD_05,PercMAD_06,PercMAD_07,PercMAD_08,PercMAD_09,PercMAD_10,PercMAD_11,PercMAD_12,F01_V0001E,F02_V0001E,F03_V0001E,F04_V0001E,F05_V0001E,F06_V0001E,F07_V0001E,F08_V0001E,F09_V0001E,F10_V0001E,F11_V0001E,F12_V0001E,HabSuit_08,HabRating_08,Length_km,Length_km_QW,UID,Reach_ID,Shape_Length,DS_Barrier,DS_Barrier_Name
11,7.922509606,1.484786421,1.521846382,2.122115523,2.724057069,3.938344502,7.071570775,8.903277795,7.811360776,6.372546405,3.768233295,2.168791651,1.338262058,6.866511081,9.669,7.738,2.697,0.702,6.585,14.346,13.844,12.132,10,9.246,7.823,8.562,8.693,111.2274244,89.01414932,31.02496261,8.075463016,75.75060393,165.0293339,159.2545726,139.560566,115.0350857,106.3614402,89.99194754,98.49304038,1.28921,1.17978,0.8063,0.55203,1.10823,1.5178,1.49515,1.41481,1.3069,1.26619,1.18485,1.22788,Good,0.75,7.922509606,5.941882204,45107,ReachID_045107,7922.509606,9,Soda_Springs
12,4.466554368,1.569774543,1.585060851,2.193735622,2.889574797,4.061298696,7.413920588,9.212339774,8.068148173,6.517747501,3.920508597,2.261903785,1.438659402,6.291202946,6.645,5.824,1.686,0.319,2.298,5.241,5.817,5.763,5.247,5.204,4.675,5.532,3.837,173.1821736,151.7852489,43.94057858,8.313786813,59.89053948,136.5910868,151.6028147,150.1954652,136.747459,135.6267918,121.8399792,144.1751368,1.31339,1.24542,0.79355,0.50881,0.88026,1.19439,1.24483,1.2402,1.19493,1.19106,1.14222,1.22018,Good,0.75,4.466554368,3.349915776,56387,ReachID_056387,4466.554368,9,Soda_Springs
13,1.861351087,1.35130483,1.393246279,1.947136825,2.530365868,3.451243256,6.503007622,8.793257639,7.850861332,6.414097856,3.649565101,1.98604029,1.203152024,2.686220796,6.108,5.502,1.458,0.231,1.054,3.159,3.916,4.355,4.556,4.481,4.083,4.909,2.844,214.7679325,193.4599156,51.26582278,8.122362869,37.0604782,111.0759494,137.6933896,153.1293952,160.1969058,157.559775,143.5654008,172.6090014,1.26422,1.21263,0.75509,0.47633,0.68439,0.98187,1.06325,1.10707,1.12643,1.11925,1.08018,1.1595,Excellent,1,1.861351087,1.861351087,62022,ReachID_062022,1861.351087,9,Soda_Springs
14,2.217487186,1.558394426,1.576663089,2.1799062,2.871214177,4.045012456,7.369605337,9.162526969,8.038180069,6.489900522,3.897167105,2.247447133,1.430999762,8.297680419,9.367,7.646,2.567,0.605,4.993,12.227,12.438,11.458,9.811,8.88,7.571,8.321,8.015,116.8683718,95.39613225,32.02744853,7.54834685,62.29569557,152.551466,155.1840299,142.9569557,122.407985,110.7922645,94.46038677,103.8178415,1.32566,1.22171,0.81998,0.54587,1.03675,1.48027,1.49097,1.44054,1.35099,1.29723,1.21694,1.26367,Good,0.75,2.217487186,1.663115389,81646,ReachID_081646,2217.487186,9,Soda_Springs
15,2.247960299,1.448568765,1.465201614,2.06192289,2.657921433,3.814477334,6.928830762,8.881834533,7.814747983,6.384859487,3.754310907,2.114968708,1.275219821,10.80979945,3.436,3.456,0.739,0.062,0.219,0.676,0.994,1.257,1.575,1.787,1.765,2.435,0.771,445.6549935,448.2490272,95.84954604,8.04150454,28.40466926,87.67833982,128.923476,163.0350195,204.2801556,231.7769131,228.923476,315.8236057,1.51721,1.52094,0.84291,0.45177,0.5886,0.81821,0.93403,1.01709,1.10726,1.16266,1.15706,1.3152,Poor,0.1,2.247960299,0.22479603,22044,ReachID_022044,2247.960299,9,Soda_Springs
16,4.316559249,1.491318263,1.526712566,2.127159618,2.737004843,3.947628759,7.098249874,8.926529706,7.831655527,6.383022216,3.779672887,2.175773179,1.346375931,2.895824957,15.538,11.367,4.955,1.676,20.745,49.766,42.55,33.457,24.28,19.731,15.553,15.317,25.329,61.3447037,44.87741324,19.56255675,6.616921315,81.90216748,196.478345,167.9892613,132.0896996,95.85850211,77.89885112,61.40392436,60.47218603,1.11572,0.99225,0.74842,0.55585,1.24963,1.80632,1.68676,1.52156,1.33165,1.22492,1.11613,1.1096,Excellent,1,4.316559249,4.316559249,60861,ReachID_060861,4316.559249,9,Soda_Springs
17,3.834335057,1.687549106,1.679636361,2.337056059,3.079479123,4.228936304,7.868910429,9.722122847,8.374299587,6.802305552,4.160544089,2.412160873,1.518369772,2.347212715,11.798,9.04,3.408,1.284,19.208,35.912,30.676,19.811,13.83,12.77,10.46,10.903,16.024,73.62705941,56.41537693,21.26809785,8.012980529,119.8701947,224.1138293,191.4378432,123.6333,86.30803794,79.69296056,65.27708437,68.04168747,1.09452,0.99086,0.71494,0.5505,1.32673,1.72808,1.61411,1.34358,1.16373,1.12827,1.04584,1.06227,Excellent,1,3.834335057,3.834335057,89091,ReachID_089091,3834.335057,9,Soda_Springs
18,1.27177012,1.768331769,1.780646944,2.507729272,3.465975622,5.336904909,8.628243665,10.08157743,8.953252455,7.345086976,4.649214341,2.636717553,1.601725939,6.526336693,4.256,4.155,0.958,0.173,1.536,2.535,2.905,2.413,2.126,2.562,2.453,3.181,1.67,254.8502994,248.8023952,57.36526946,10.35928144,91.9760479,151.7964072,173.9520958,144.491018,127.3053892,153.4131737,146.8862275,190.4790419,1.35957,1.34625,0.78458,0.50029,0.92024,1.10673,1.16663,1.08609,1.03552,1.11124,1.09291,1.209,Good,0.75,1.27177012,0.95382759,6145,ReachID_006145,1271.77012,9,Soda_Springs
19,0.489168542,1.687549106,1.679636361,2.337056059,3.079479123,4.228936304,7.868910429,9.722122847,8.374299587,6.802305552,4.160544089,2.412160873,1.518369772,7.563855165,4.256,4.155,0.958,0.173,1.536,2.535,2.905,2.413,2.126,2.562,2.453,3.181,1.67,254.8502994,248.8023952,57.36526946,10.35928144,91.9760479,151.7964072,173.9520958,144.491018,127.3053892,153.4131737,146.8862275,190.4790419,1.35957,1.34625,0.78458,0.50029,0.92024,1.10673,1.16663,1.08609,1.03552,1.11124,1.09291,1.209,Good,0.75,0.489168542,0.366876406,1893,ReachID_001893,489.1685416,9,Soda_Springs
20,2.975447855,1.687549106,1.679636361,2.337056059,3.079479123,4.228936304,7.868910429,9.722122847,8.374299587,6.802305552,4.160544089,2.412160873,1.518369772,8.166837795,5.23,4.886,1.252,0.289,3.059,4.924,5.162,3.624,3.046,3.556,3.275,4.077,2.766,189.0817064,176.6449747,45.26391902,10.4483008,110.592914,178.0187997,186.6232827,131.0195228,110.1229212,128.5610991,118.4020246,147.3969631,1.339336364,1.307116364,0.788057273,0.523747273,1.051329091,1.266905455,1.298439091,1.140973636,1.070865455,1.138632727,1.106033636,1.207928182,Good,0.75,2.975447855,2.231585891,11606,ReachID_011606,2975.447855,9,Soda_Springs
21,0.26357153,1.687549106,1.679636361,2.337056059,3.079479123,4.228936304,7.868910429,9.722122847,8.374299587,6.802305552,4.160544089,2.412160873,1.518369772,3.79403648,5.23,4.886,1.252,0.289,3.059,4.924,5.162,3.624,3.046,3.556,3.275,4.077,2.766,189.0817064,176.6449747,45.26391902,10.4483008,110.592914,178.0187997,186.6232827,131.0195228,110.1229212,128.5610991,118.4020246,147.3969631,1.33484,1.29842,0.78883,0.52896,1.08046,1.3025,1.32773,1.15317,1.07872,1.14472,1.10895,1.20769,Excellent,1,0.26357153,0.26357153,99273,ReachID_099273,263.57153,9,Soda_Springs
22,8.056706098,1.44027216,1.472863701,2.050448602,2.658174328,3.79606506,7.041095461,9.135037241,8.031197906,6.565894452,3.809684889,2.111406312,1.290040286,3.549837819,10.916,8.655,3.181,0.777,7.614,18.69,18.438,15.92,12.916,11.308,9.399,9.982,11.405,95.71240684,75.88776852,27.89127576,6.812801403,66.7601929,163.8754932,161.665936,139.5879,113.2485752,99.14949584,82.41122315,87.52301622,1.18946,1.0873,0.76617,0.52496,1.03606,1.48064,1.47222,1.38492,1.27179,1.20612,1.12216,1.14859,Excellent,1,8.056706098,8.056706098,62635,ReachID_062635,8056.706098,9,Soda_Springs
23,0.889090292,1.617927953,1.633047937,2.25507661,2.909218754,4.512627261,8.084933152,9.760914823,8.352470861,6.84793775,4.105121778,2.357161902,1.467459021,6.748470944,10.952,8.679,3.197,0.787,7.797,19,18.681,16.023,12.979,11.367,9.443,10.023,11.516,95.10246613,75.36470997,27.76137548,6.833970129,67.70580063,164.987843,162.217784,139.1368531,112.7040639,98.70614797,81.99895797,87.03542897,1.22559,1.11901,0.78538,0.53499,1.07417,1.53727,1.52627,1.43095,1.31213,1.24388,1.15615,1.18342,Good,0.75,0.889090292,0.666817719,15433,ReachID_015433,889.0902917,9,Soda_Springs
24,3.620058535,1.544719794,1.566482586,2.169018683,2.843670952,4.024867735,7.31467,9.114824293,7.996355853,6.468215749,3.873212328,2.232838308,1.413554491,13.36994955,6.064,5.335,1.518,0.296,2.187,4.635,5.18,4.795,4.333,4.483,4.052,4.918,3.244,186.9297164,164.4574599,46.79408138,9.124537608,67.41676942,142.8791615,159.6794081,147.811344,133.5696671,138.1935882,124.9075216,151.6029593,1.45439,1.37905,0.85767,0.53896,0.9752,1.302,1.36241,1.32006,1.26708,1.28456,1.23354,1.33376,Poor,0.1,3.620058535,0.362005854,91294,ReachID_091294,3620.058535,9,Soda_Springs
25,5.213308389,1.664274858,1.661217164,2.298796024,3.024646845,4.496904882,8.011447763,9.461744113,8.333688263,6.861741729,4.191877483,2.410839401,1.519166784,5.294142978,8.303,6.924,2.226,0.537,5.01,10.711,10.913,9.072,7.686,7.291,6.307,7.12,6.521,127.3270971,106.1800337,34.13586873,8.234933292,76.82870725,164.2539488,167.3516332,139.1197669,117.8653581,111.8080049,96.71829474,109.1857077,1.26089,1.17332,0.78185,0.53091,1.03679,1.39881,1.40968,1.30676,1.22263,1.19737,1.1315,1.18624,Excellent,1,5.213308389,5.213308389,12744,ReachID_012744,5213.308389,9,Soda_Springs
26,0.835701968,1.687549106,1.679636361,2.337056059,3.079479123,4.228936304,7.868910429,9.722122847,8.374299587,6.802305552,4.160544089,2.412160873,1.518369772,0.239319767,13.231,9.911,3.947,2.079,29.15,53.97,42.962,25.241,16.865,15.314,12.313,12.516,21.578,61.31708221,45.93104087,18.29177866,9.634813236,135.0912967,250.1158587,199.1009361,116.9756233,78.15830939,70.97043285,57.0627491,58.00352211,0.90065,0.81642,0.61997,0.53007,1.20929,1.55785,1.41532,1.14297,0.98211,0.94847,0.87847,0.88344,Excellent,1,0.835701968,0.835701968,53015,ReachID_053015,835.7019683,9,Soda_Springs
27,0.128544517,1.687549106,1.679636361,2.337056059,3.079479123,4.228936304,7.868910429,9.722122847,8.374299587,6.802305552,4.160544089,2.412160873,1.518369772,1.555881218,13.231,9.911,3.947,2.079,29.15,53.97,42.962,25.241,16.865,15.314,12.313,12.516,21.578,61.31708221,45.93104087,18.29177866,9.634813236,135.0912967,250.1158587,199.1009361,116.9756233,78.15830939,70.97043285,57.0627491,58.00352211,0.90065,0.81642,0.61997,0.53007,1.20929,1.55785,1.41532,1.14297,0.98211,0.94847,0.87847,0.88344,Excellent,1,0.128544517,0.128544517,92309,ReachID_092309,128.5445172,9,Soda_Springs
28,6.046183066,1.646978986,1.647413021,2.282441418,2.982320347,4.356157016,8.424262425,9.907223343,8.673312476,7.281400535,4.372259243,2.415173818,1.494530984,0.446562727,13.231,9.911,3.947,2.079,29.15,53.97,42.962,25.241,16.865,15.314,12.313,12.516,21.578,61.31708221,45.93104087,18.29177866,9.634813236,135.0912967,250.1158587,199.1009361,116.9756233,78.15830939,70.97043285,57.0627491,58.00352211,0.90065,0.81642,0.61997,0.53007,1.20929,1.55785,1.41532,1.14297,0.98211,0.94847,0.87847,0.88344,Excellent,1,6.046183066,6.046183066,10512,ReachID_010512,6046.183066,9,Soda_Springs
29,6.748609025,1.646978986,1.647413021,2.282441418,2.982320347,4.356157016,8.424262425,9.907223343,8.673312476,7.281400535,4.372259243,2.415173818,1.494530984,6.653222884,5.465,4.874,1.271,0.425,3.647,5.914,5.684,3.759,3.082,3.653,3.338,4.187,3.006,181.8030605,162.1423819,42.28210246,14.13838989,121.3240186,196.7398536,189.0884897,125.0499002,102.5282768,121.5236194,111.0445775,139.2880905,1.33181,1.27147,0.78012,0.57206,1.13401,1.37563,1.35339,1.14738,1.06342,1.13474,1.0961,1.19682,Good,0.75,6.748609025,5.061456768,32498,ReachID_032498,6748.609025,9,Soda_Springs
30,2.619843073,1.470930071,1.481615008,2.088224305,2.687070512,3.899716933,7.027389608,8.902015409,7.807022751,6.378533407,3.77833088,2.14457127,1.291695379,13.28323836,6.711,5.838,1.674,0.278,1.485,4.279,5.109,5.402,5.372,5.154,4.631,5.462,3.564,188.2996633,163.8047138,46.96969697,7.800224467,41.66666667,120.0617284,143.3501684,151.5712682,150.7295174,144.6127946,129.9382716,153.2547699,1.45727,1.37532,0.85801,0.52024,0.82414,1.21307,1.30237,1.33224,1.32922,1.30701,1.25185,1.33827,Poor,0.1,2.619843073,0.261984307,68803,ReachID_068803,2619.843073,9,Soda_Springs
31,0.650208437,1.484786421,1.521846382,2.122115523,2.724057069,3.938344502,7.071570775,8.903277795,7.811360776,6.372546405,3.768233295,2.168791651,1.338262058,2.153155698,17.493,12.44,5.768,2.146,27.546,67.254,55.653,42.799,30.156,23.726,18.382,17.64,32.83,53.28358209,37.89217179,17.56929638,6.536704234,83.90496497,204.8553153,169.5187329,130.3655193,91.85501066,72.26926592,55.99147122,53.73134328,1.09243,0.96261,0.74338,0.56571,1.3062,1.91125,1.75794,1.56926,1.35534,1.23016,1.11335,1.09593,Excellent,1,0.650208437,0.650208437,18744,ReachID_018744,650.2084366,9,Soda_Springs
32,2.19417205,1.536052666,1.548413194,2.162226311,2.785147209,4.167724495,7.493814935,9.285566324,8.05025627,6.587472393,3.923461486,2.238245816,1.368741342,2.461064983,12.484,9.501,3.675,0.968,9.015,23.576,22.542,20.202,16.53,13.778,11.244,11.632,14.543,85.84198584,65.3303995,25.26988929,6.656123221,61.98858557,162.1123565,155.0024067,138.9121914,113.6629306,94.73973733,77.315547,79.98349722,1.13125,1.02019,0.73823,0.52006,1.00062,1.46169,1.43455,1.37088,1.26353,1.17549,1.08679,1.10094,Excellent,1,2.19417205,2.19417205,25656,ReachID_025656,2194.17205,9,Soda_Springs
33,5.168610656,1.644498068,1.687707068,2.305162932,3.053274564,4.606957794,8.770563083,10.0427909,8.907164697,7.554328742,4.585962669,2.461127755,1.516809517,3.443865515,5.38,4.823,1.493,0.855,5.903,12.744,11.463,5.531,7.558,4.909,3.739,4.4,5.06,106.3241107,95.31620553,29.50592885,16.8972332,116.6600791,251.8577075,226.541502,109.3083004,149.3675889,97.01581028,73.89328063,86.95652174,1.081,1.03744,0.69954,0.59932,1.12001,1.52972,1.46291,1.09244,1.23383,1.04431,0.94525,1.00276,Excellent,1,5.168610656,5.168610656,32550,ReachID_032550,5168.610656,9,Soda_Springs
34,1.325049276,1.616529625,1.665646765,2.258803278,2.960316667,4.434774327,8.788427731,10.02664871,8.884778635,7.589227296,4.562006671,2.418989634,1.497384337,0.603751132,5.429,4.843,1.511,0.949,6.258,13.435,11.945,5.717,7.822,5.027,3.805,4.454,5.266,103.0953285,91.96733764,28.69350551,18.02126852,118.8378276,255.1272313,226.8325104,108.5643752,148.5377896,95.46145082,72.25598177,84.58032662,1.081,1.03744,0.69954,0.59932,1.12001,1.52972,1.46291,1.09244,1.23383,1.04431,0.94525,1.00276,Excellent,1,1.325049276,1.325049276,50569,ReachID_050569,1325.049276,9,Soda_Springs
35,4.324715302,1.687976031,1.687395432,2.313607835,3.055838774,4.778715248,8.062289644,9.560365746,8.400929738,6.935842363,4.211045453,2.448004465,1.518981482,0.994285103,18.565,13.015,6.215,2.777,35.437,83.96,66.88,48.707,33.426,26.074,20.009,18.955,38.336,48.42706594,33.94981219,16.21191569,7.243843907,92.43791736,219.0108514,174.457429,127.0529007,87.19219533,68.014399,52.19376043,49.44438648,0.97072,0.85688,0.67883,0.5499,1.242,1.78438,1.61647,1.41377,1.21348,1.10164,0.9976,0.97808,Excellent,1,4.324715302,4.324715302,25020,ReachID_025020,4324.715302,9,Soda_Springs
36,0.133116471,1.776658214,1.79103372,2.525380928,3.507388543,5.459538058,8.708147402,10.11818359,9.012647465,7.401105512,4.70060337,2.660185554,1.610315225,3.004887359,5.508,5.011,1.236,0.415,4.798,7.152,6.965,3.758,3.139,3.833,3.479,4.31,3.393,162.3342175,147.6864132,36.42793988,12.23106396,141.4087828,210.7869142,205.2755673,110.7574418,92.51399941,112.967875,102.5346301,127.0262305,1.2083,1.16423,0.71539,0.53638,1.14471,1.34218,1.32774,1.04296,0.976,1.05071,1.01348,1.09841,Excellent,1,0.133116471,0.133116471,23511,ReachID_023511,133.1164707,9,Soda_Springs
37,1.104919898,1.687389239,1.721403175,2.376429452,3.198006925,4.876766197,8.746458434,10.06742173,8.941464231,7.50255876,4.622924021,2.525741933,1.546854012,7.059335267,5.508,5.011,1.236,0.415,4.798,7.152,6.965,3.758,3.139,3.833,3.479,4.31,3.393,162.3342175,147.6864132,36.42793988,12.23106396,141.4087828,210.7869142,205.2755673,110.7574418,92.51399941,112.967875,102.5346301,127.0262305,1.2083,1.16423,0.71539,0.53638,1.14471,1.34218,1.32774,1.04296,0.976,1.05071,1.01348,1.09841,Good,0.75,1.104919898,0.828689923,81858,ReachID_081858,1104.919898,9,Soda_Springs
38,0.133968461,1.620088321,1.648847334,2.25577081,2.945672002,4.434380582,8.77254572,10.02132294,8.868337636,7.578846379,4.532927023,2.418186042,1.490281157,5.225110402,5.508,5.011,1.236,0.415,4.798,7.152,6.965,3.758,3.139,3.833,3.479,4.31,3.393,162.3342175,147.6864132,36.42793988,12.23106396,141.4087828,210.7869142,205.2755673,110.7574418,92.51399941,112.967875,102.5346301,127.0262305,1.2083,1.16423,0.71539,0.53638,1.14471,1.34218,1.32774,1.04296,0.976,1.05071,1.01348,1.09841,Excellent,1,0.133968461,0.133968461,35401,ReachID_035401,133.9684612,9,Soda_Springs
39,0.094274861,1.624525214,1.63219016,2.252364502,2.928784091,4.434171501,8.754429612,10.01522974,8.84891296,7.566603866,4.498593013,2.417647464,1.482091197,2.121456327,5.508,5.011,1.236,0.415,4.798,7.152,6.965,3.758,3.139,3.833,3.479,4.31,3.393,162.3342175,147.6864132,36.42793988,12.23106396,141.4087828,210.7869142,205.2755673,110.7574418,92.51399941,112.967875,102.5346301,127.0262305,1.2083,1.16423,0.71539,0.53638,1.14471,1.34218,1.32774,1.04296,0.976,1.05071,1.01348,1.09841,Excellent,1,0.094274861,0.094274861,53069,ReachID_053069,94.27486085,9,Soda_Springs
40,0.046449078,1.624525214,1.63219016,2.252364502,2.928784091,4.434171501,8.754429612,10.01522974,8.84891296,7.566603866,4.498593013,2.417647464,1.482091197,0,5.508,5.011,1.236,0.415,4.798,7.152,6.965,3.758,3.139,3.833,3.479,4.31,3.393,162.3342175,147.6864132,36.42793988,12.23106396,141.4087828,210.7869142,205.2755673,110.7574418,92.51399941,112.967875,102.5346301,127.0262305,1.2083,1.16423,0.71539,0.53638,1.14471,1.34218,1.32774,1.04296,0.976,1.05071,1.01348,1.09841,Excellent,1,0.046449078,0.046449078,75223,ReachID_075223,46.44907784,9,Soda_Springs
